"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","12540.9603736561","13116.6646217285","14195.679414825","15375.8424621367","15979.2069127436","15971.2095293049","16825.7289791338","18536.363592929","19953.2449664408","22258.1646108333","23747.3009267461","24963.4704544469","26174.1965885986","26738.2436024167","26958.5714962046","26803.8544461851","27658.8275537042","28878.8717933456","27030.256298238","28198.3697433486","29106.1168135669","29850.4411122037","30356.1440394247","31815.7243211955","29771.1443817023","29660.0102177661","31058.1223203026","32416.2629456284","34016.8698213957","37772.2322983169","40620.4162997168","39956.2349965455","34572.3860466189","31488.3900577089","30447.9401252619","31072.459600261","30512.1508807203","31312.4176227826","32161.3620332172","33584.584298666","34314.6521912267","36521.0934092184","",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","25233.7449886766","25351.5215110178","25060.8825172221","26112.6940639269","27392.1375481329","28467.7730944854","28488.1126083598","29903.7206542927","30878.0081605463","32368.5068906467","34013.2725673623","34199.2734018706","34890.1115580178","35258.7443946188","35788.1658529476","35827.4670697474","36387.8714458776","37274.591319053","37174.0493104889","38261.4716825134","38944.7318268445","39611.1073892946","40252.6683357491","38869.7377838506","40192.8075141534","41728.1380885899","42707.0743644808","43136.3940998161","44872.4912594815","45824.4718812447","46763.45289509","45987.7921777366","45620.5773078022","46996.7736457803","48353.9624754971","49605.9650287738","50857.4081153405","52286.439488038","54112.5006680562","56212.0363521082","57730.4860857307","58057.0751558234","59647.6586909839","60675.3319862883","62408.3090712164","63563.5063839802","64383.0050391586","66441.7407670591","67505.6472714267","67409.4238810236","67741.1463002258","68451.6722094837","69902.6303293405","70485.8572865968","71201.369791707","71722.8484470206","72567.6800791306","73044.9242455652","74046.4757034952","",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10861.6594470119","11400.4756536122","11630.9328108182","12034.6967073595","12686.8973602153","13043.4007981353","13683.1116516584","13989.7515190363","14539.7224825088","15398.9467903276","16315.2605849189","17073.4214147837","18028.2322541512","18805.412388291","19513.5063280378","19494.1820339962","20422.7620158548","21451.9972966652","21424.146103602","22610.2827831259","23001.752158076","22910.0625073493","23354.0872759152","24087.3187461898","24101.1866796695","24691.8020855296","25244.0100219372","25570.4264893157","26375.8301861346","27277.9104114446","28247.2439940869","28929.1285461008","29211.5035515283","29124.232986783","29709.2694060245","30455.2432614964","31128.7411498179","31744.4601502427","32845.3040440207","33947.278663878","35008.9582985399","35317.1278390379","35724.2200125539","35885.3171420821","36638.8051541086","37206.6616843884","38301.8092090345","39600.903479205","40053.663427826","38444.9721052391","39057.2379380453","40063.5274880021","40152.6490360429","39926.8711151164","39878.0123364859","39833.5323259551","40225.7485347961","40936.5726838537","41723.4221829234","",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1603.02025070447","1567.2795763994","1194.83390680033","904.974382921948","716.93756746084","625.098100195185","626.861947700631","656.852792396262","715.712637432074","761.958999091792","839.61046641652","915.610513857382","994.585135738716","1087.84202280759","1178.14964184675","1492.24545243302","1984.64267403693","2461.92301865685","2666.09991555789","2855.98591655552","2957.35787024377","2873.15648110417","2897.68996353616","3027.57804906358","3073.66200112238","3069.17954293459","2942.0611915868","2905.11712311091","2920.74136300529","",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","158342.12868815","133966.430376668","143349.862998831","146402.309517185","152405.710756166","154965.397005861","158222.221424249","175511.296541934","170598.77645356","164318.285104241","195625.845932096","198099.778120245","183353.073439811","194056.658551395","190463.975610998","188971.514077972","200194.799045031","218317.466733193","211071.57382562","209184.777960541","205868.150603197","224997.25382736","216872.386538417","219038.059887486","213512.491424352","232153.517168154","233032.619830531","238990.487275732","244139.395807817","240982.723882101","243368.643436363","249745.152244612","246914.841831902","227015.8825385","214586.340167694","194684.319170582","176950.012813297","172372.452937131","178708.527551741","174601.301825207","170072.696437975","169667.769144186","172491.931281588","165324.747820066","167907.788347031","164055.212439826","167413.417379867","167589.180350471","170029.984856208","170804.680537502","173804.65355603","175105.481935067","177203.344845353","180193.597908826","182034.329114613","169498.706667205","163213.125002503","158892.969517755","156418.358725763","",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10576.0881824716","11065.78826005","11596.2859688885","12010.7782270188","12725.3161615209","13059.2850421326","13380.7344401321","13821.1714490341","14344.3089200471","15252.0574756465","16089.0514770315","16699.8705076996","17515.5068702204","18574.755186969","19361.7262522207","18926.3140183864","19960.474299484","20060.6716255908","20611.535637765","21075.1153742818","21987.4588938987","21926.6297575145","22063.0855808714","22133.646048103","22679.8870301395","23047.6456913296","23459.3849636117","23980.0608374634","25032.9761644103","25807.4961834719","26537.9175207444","26924.1428695087","27225.5763523082","26858.5757215919","27639.9772905283","28239.9168732652","28557.2478370547","29568.9672530226","30084.7553976239","31079.2663590256","32156.3028898915","32398.2726992574","32803.8955615548","33005.9184862029","34036.9961550261","34636.2024683219","35286.7351197265","36316.5344400839","36191.7999233051","35176.2928943686","35854.7580644125","35991.0127172171","36032.9116987481","36028.1688802998","36434.7776980704","36960.6311616367","37329.6661266344","37916.5458624838","38274.0402209134","",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","401444.727820093","408304.994885734","388481.117183476","400462.319321842","419976.747849925","434416.512209089","441595.854017898","437685.120795099","445338.942653269","448659.767452963","448370.292003252","432128.258543536","449775.124445876","455941.995030657","460267.423797962","427311.992333309","420528.933386371","430394.219754896","424604.233373008","440530.759887725","457923.769326971","489935.667523096","487166.031567866","453039.253398102","475217.179724537","496469.4927676","492737.079203389","471352.908626574","473052.357621587","445519.752074545","470055.002480834","473649.516386932","470984.765372078","481323.776633128","474509.75484582","486891.477378563","492218.142692414","504920.542426908","509617.631565409","521224.027617841","535534.698689227","547293.786553767","555539.426657422","557464.575420298","564922.934233324","557884.54973394","563324.6954416","580247.913816459","591714.699949557","588666.393581546","584477.945451911","585161.978388788","596394.808725196","621690.168550669","643072.577570454","636615.408239372","639958.160669908","657909.779544069","683033.888931069","",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","89447.2950670989","91823.0313734784","96159.0327530892","93665.2207586547","94468.1076273463","96585.1596658467","95598.9378016701","102346.654054571","103722.504302047","104022.049414508","102358.374391068","102013.453656152","102547.653434499","101179.265567408","107576.082099443","108740.184286572","115773.278225806","113933.951962319","116777.019145684","118500.983234148","116798.510913999","118939.054524163","127161.137986842","124426.236860442","119124.381835028","125980.873618174","132525.524084021","128811.551591736","132750.57324978","132072.338310476","127831.212307205","135742.682023725","132443.424759923","133364.685218785","131483.124309587","135234.320276221","146035.955766771","150998.434257374","157554.34854592","164510.871643235","162812.062362131","168687.328678673","171039.784749168","179117.493546429","181740.026924381","191723.849342084","197713.650545774","202696.654390279","211002.121190152","210775.509160564","215495.68967865","222965.355298882","230343.813615464","236528.156670489","239560.669138441","241680.911497031","248600.471598291","256852.798874856","266646.370122626","",
"Bangladesh","BGD","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","19592.4050533783","20211.3386864691","20730.0240677455","20062.3895973961","21622.0343299049","21317.4622252276","21186.587066712","20128.3048150574","21356.7252346883","21010.0065515562","21654.3124691959","20061.9988456567","16975.1833290169","17277.3377886508","18630.289680872","17530.973391902","18113.4341160275","18139.10267841","18910.8849218248","19287.4539509677","18930.1413792311","19771.235630678","19672.4349199443","19911.5567386341","20331.2574094608","20467.2777112972","20766.9735823122","20990.953503931","20947.4423226854","21004.8557464293","21653.2722874809","21892.8969886276","22574.6902328892","23131.287399251","23522.3022908853","24204.7421562208","24766.2021598109","25337.4809392539","26101.3247861976","26773.2274451344","27645.3652432541","28506.1880316094","29065.0183457512","29920.068537207","30983.2363543858","32521.8152010884","34227.4319953652","36196.6801489434","37936.3542564921","39407.7162910153","41138.1013763606","43299.1251819191","45593.2188989408","47779.1409343872","50099.3477744559","52789.0732529681","55930.5059085588","59365.8157203687","63365.301127651","",
"Bulgaria","BGR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","4762.85540823345","4979.61982729504","5080.82035046538","5242.01043699491","5407.38576842224","5552.57155617843","5787.73635823652","6129.13249820902","6792.31020261103","6646.1606953362","6150.14392158828","5686.7878416198","5330.15437408462","5293.31162576265","5407.87788039473","5587.38421904084","5655.8512636757","5628.43085499301","6025.85558109415","5550.22371015894","5843.5244692523","6185.75622707151","6696.8383066266","7098.14519698014","7612.17645519032","8216.06346125825","8847.81020236489","9567.72247976167","10215.3322475453","9912.65565469438","10110.2425915737","10370.12773518","10433.5982155763","10543.9762481392","10798.929891148","11245.3052671702","11770.2714798434","12308.4443679411","12779.6337585126","",
"Bahrain","BHR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","7965.56178588894","7255.14754624185","6501.35432050784","6732.669111675","6882.56025538707","6364.35383426953","6230.89162129741","6641.49956233253","6858.51895321992","6656.14161263971","6743.47036180436","7297.27793471438","7587.12525282649","8353.99078719159","8130.336273138","8238.28794547425","8355.01429149112","8377.9495437286","8510.75460322633","8558.19373771682","8631.16921025984","8428.50282060656","8265.20174223896","8294.13592771617","8326.37218561561","8296.89461111786","8195.1611927155","8210.90258987431","8107.31885871774","7819.18628003605","7791.52362071467","7714.23720671501","7867.69881448648","8198.73173899587","8420.63506913908","8435.83596177719","8398.62925211339","8319.63477043306","8060.84212256736","",
