"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3732111800","-4665427700","-6271428300","-6775607000","-8763118500","-8035509000","-1555847200","-871302412.627854","-3490050000","-7098000000","-12983410858.6302","-14295000000","-12326000000","-10996000000","-12070199825.2172","-18095045103.964","-15652605750.2513","-14192990579.0185","-16041633910.8704","",
"Botswana","BWA","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10742300000","8334913300","3088212600","-6000448800","-4445758100","-3334243000","-8694602200","303879272.461205","4014602294.922","-5703601196.28889","-2725303222.65601","2642643798.82819","-204788300.000008","",
"Central African Republic","CAF","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-72331000000","-47341000000","25749000000","31036000000","51242000000","2523000000","2076000000","-27198000000","-17852000000","-40668000000","",
"Canada","CAN","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","4399448000","5599062100","9100976900","10757433900","6905259100","7721482700","11852530800","14711713200","11983120200","21955448200","21598844500","18524287800","16094166700","-1228203900","-7869422300","-6487425100","1842054500","10795285000","6702584800","12658316600","12447584400","32641266400","29421972700","36512096400","32380024100","30410578000","27491377700","21787150300","11534062200","17872534500","16138861500","22715488500","33286342300","49457075700","62638053700","67313978700","54773725000","75329710800","94106177900","104828375500","110792875700","109453814800","81745548800","72782146800","49467378400","26468524400","987320800","-31044232300","-30404860800","-69397662200","-77280898500","-85039036200","-84648154100","-64928811200","-49064000000","-40492987400","-60377240400","-58837126400","",
"Central Europe and the Baltics","CEB","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","12972286900","12167945200","12401925900","14243100200","15753756900","20630218400","20413031700","22696161600","18466593800","15496364700","14507267000","23723136000","19273335600","14920495800","27069891800","31279774300","20556000700","18965022700","22359402100","21723146500","16727384900","18825145700","23663922600","24680581700","20710233800","16881073700","15936330500","25396959600","21984479000","22465715800","33635832200","31496241200","31472087900","28178239300","42623550500","38487450700","48336001500","67501832900","67356054900","43684538100","61815930300","52722389400","64635313900","79688508600","80199649200","76561919100","83201567000","84319816500","97971173600","",
"Channel Islands","CHI","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252921000000","432216000000","1708685713300","207528505100","311436890200","535786277300","117246000000.001","140632231900","768683576999.999","427682889700.001","",
"Cameroon","CMR","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-167776000000","-120979000000","-110193000000","-547313000000","-589059445400","-613854876300","-811487000000","-780143000000","-931084000000","-1108971000000","-901858366900","-858822820300.001","-886428008900","-1141300000000","",
"Congo, Dem. Rep.","COD","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-364372000000","-290602000000","-417279763500","-215172273000","-657556335900","-1096108630700","-1490924677000","-2198934057200","-2320810684400","-2216800308400","-1765938196100","-1614545349900","-1843867112200","-1628786754800","",
"Congo, Rep.","COG","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249443480000","142817470000","241422765100","155931101100","-38991349900","83547653900","87341227800","124855470800","173815507900","162490019500","136380255200","75399288900","60215970700","26132722800","25509537900","-10592572400","-117665503800","-260911531900","-281503000000","-231335000000","-309834000000","-336802000000","-261282000000","-433454000000","-477042000000","-437056000000","-347703000000","181051970000","346809000000","",
