"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahrain","BHR","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","272486335.898116","385638031.914894","444947074.468086","139361170.212766","103191489.361703","435638563.829789","424202127.659574","507712765.957447","660638297.87234","425531914.893617","886169680.851064","-490957712.765957","-587234042.553192","163563829.787234","401329787.234042","673670212.765957","714627393.617021","607713031.914894","44414627.6595745","1052925531.91489","2043882978.7234","1812765957.44681","1331914893.61702","1775797872.34043","2166223404.25532","3109840425.53191","4103191489.3617","4688031914.89362","4955053191.48936","4350797872.34042","4783244680.85107","7102659574.46809","5659840425.53191","5771542553.19149","5520212765.95745","3351063829.78723","2694148936.17021","2855851063.82978","3125000000","",
"Bahamas, The","BHS","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","117700000","126100000","98800000","100200000","71500000","98400000","148200000","107800000","128100000","146200000","149800000","","-102190000","-56940000","-131180000","-30080000","17730000","-76880000.0000002","-184040000","-353010000","-378300000","-574800000","-214300000","-286700000","-362300000","184100000","49400000.0000005","38800000","-381300000","-1111500000","-831300000","-888600000","-812500000","-885300000","-1355800000","-857300000","-563300000","-1218000000","-329000000","-223800000","-808100000","-644800000","",
"Bosnia and Herzegovina","BIH","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-891000000","-953000000","-1678999933.54599","-1650984372.29687","-2925335454.90709","-3117542320.26144","-2577347574.18747","-2732719436.3104","-3098270163.61886","-4425994460.47317","-4136000000","-4489476696.12768","-3602078121.99346","-4630871238.62841","-6205283852.60635","-4179541160.59379","-3706256517.91156","-4430807449.00135","-4038667060.833","-3716621410.63064","-4204131054.13105","-2992027785.65353","-2816578813.41553","-2954313702.89271","-3063334942.66747","",
"Belarus","BLR","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000000","0","370370370.37037","-2561983471.07438","-1916750587.44545","-613102225.90521","-601384615.384615","-818941611.462024","-739095560.180369","-294775266.250829","-405990274.651637","-438561151.079137","-546850362.92574","-682642613.359337","-1472870370.37037","214856081.708445","-1541911421.91142","-2837884436.1603","-4693352059.92509","-5536484067.31114","-7537462235.64955","-644462311.557781","2935168525.84863","-2378231981.98197","-606406494.522707","60241115.1576087","-90973059.91154","115717021.166486","910286611.700032","",
"Belize","BLZ","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","-24626081.973916","-38664484.386174","-36654968.319622","-27981631.1621175","-17199270.5149825","-25396382.8100895","-8304599.36009851","-9305608.36026648","-21295465.938917","-39271147.0467995","-9503835.28270906","194000000","-16582650","-19559750","-15139050","-7131600.00000006","-1683350","-19157450.0000001","-29945200","-95494950.0000001","-172245750","-158947200","-126524250","-126284150","-84128649.9999999","-89523350.0000001","-6305650","-1597350","-99659350","-61489349.9999999","5616860.80086493","-24974296.5451449","9887047.57940996","-19470469.0712302","-49111916.882165","-128352073.928795","-159922823.455685","-63519233.3346801","-5717867.29460001","",
"Bermuda","BMU","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927734000","970636000","1043222000","1002653000","1007490000","","","","","","",
"Bolivia","BOL","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-28881951.2846625","-28214160.5035142","-46494933.137448","-44825456.1845774","-17112138.7669243","-31565656.5656566","-34932659.9326599","-26599326.5993266","-36531986.5319865","-26346801.3468013","2441077.4410774","-32996632.996633","-36555095.9007146","-7646176.91154423","178410794.602699","-150974512.743628","-60369815.0924538","-92653673.1634183","-282358820.589705","-142427940.57824","81566068.5154978","40783034.2577488","-15607514.7061807","233130423.520269","-133613528.449477","-203957011.924214","-173553039.605403","-189644986.252038","-200978623.459732","-31043066.0405397","-55943769.4041259","-293146679.327487","-509041661.325471","-533645635.506788","-331015690.942539","-311260129.575235","-347106372.916092","-653745884.323316","-1094806264.85908","-862182919.276031","-759866903.857039","-430160135.615795","-480760251.046025","-61940672.6551076","422223664.314516","329858047.879397","1031307229.5172","987871280.823314","1158213807.1094","488671509.971512","1348610315.39043","1366613810.00432","2541509840.81042","2132066136.03473","436112590.448623","-2044775832.12735","-2520136613.60347","-2586732561.50507","-2067713169.31982","",
"Brazil","BRA","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","-8832286.39327408","-9149902.73913831","-263069676.369544","-17161538.9976371","150139738.736652","474987147.832509","225450250.410952","0","-206594912.095925","24981601.3881669","-177912553.313845","-848612874.357427","-927784676.017155","-975055646.878116","-6172123572.14926","-4907560235.7633","-3659545985.35254","-1172207021.18182","-2387152105.92509","-4615615400.08842","-5295341312.05211","-999146350.182735","-1872613597.52443","4906714630.16912","11753827695.2235","11487450779.4235","6601570980.52759","9608553068.45426","17166386286.1892","14761099609.375","5720000000","4600000000","9947500000","6160807453.41614","-15642108.5562334","-14822283208.0201","-18498238583.2256","-23041884322.82","-20535751831.1073","-11102893976.9659","-14836530035.5288","-12266271490.5195","4281225391.51795","12401305459.8635","22845588205.1282","30323123685.5077","29983077414.6095","19038611011.2475","-3214747409.75025","-6721979493.84815","-22994542974.0791","-20128527020.5643","-33506220879.6273","-56912017067.8541","-65366765830.8541","-20784213532.117","7176696359.52221","14820141630.6323","7195326235.69982","",
"Barbados","BRB","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","-40322756.2991931","-79796386.8649566","-56991728.1243771","-56831402.5754487","-71794361.8555163","-16457017.8491523","-87953065.1817233","-26102520.7577189","12032019.0921296","54342962.263213","92030030.3286433","2585392.53219323","1044100.83030876","52354198.7769105","29135385.0743302","-4872470.54144086","-17252523.2436732","132000000","92576940.2873763","152538159.399393","40471336.9462537","60657286.3322229","-69159250.2361657","-91781434.8928554","-142246308.357779","-125650000","-134950000","-170850000","-134000000","-298750000","-305050000","-268176850","-94433650","-241503700","-99287100","-135468800","-211196950","-209574650","-183480300","-220960850","-77563750","48182450","73121199.9999995","56524699.9999998","",
"Brunei Darussalam","BRN","External balance on goods and services (current US$)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","780499815.33916","778475941.466706","1072931843.93719","1360990407.47725","1563764291.99648","2268923020.32558","4026713992.15393","3468074028.49434","3075233644.85981","2663984855.65547","","","","","","794236784.084499","864000000","981129891.178514","416820135.052179","123158806.783018","109336126.751342","184139974.601383","-36170212.7659575","-68022629.3103448","-280831739.961759","341002949.852507","1892586020.88167","1698908299.38048","1489797162.96214","2184905751.34887","2913434268.13395","4086996695.50589","5334822833.40676","4893570433.28246","7295088907.70533","3970301113.70824","5407407407.40741","7312981954.0504","6606113956.46607","4550031969.30946","6509076558.80032","2524547239.79926","1349353290.37863","1694264030.70461","1352425161.24249","",
